자치구,계,남자,여자,65세이상고령자
종로구,153684,74018,79666,28064
중구,131450,63869,67581,24742
용산구,236518,114571,121947,39461
성동구,291609,141662,149947,46896
광진구,353110,169525,183585,52604
동대문구,352592,172318,180274,62963
중랑구,393600,193623,199977,72851
성북구,442680,212277,230403,75719
강북구,300824,145934,154890,64961
도봉구,318100,154440,163660,65122
노원구,514445,247417,267028,89426
은평구,476013,227172,248841,88418
서대문구,317075,149805,167270,55012
마포구,378629,176886,201743,55168
양천구,449378,219882,229496,69953
강서구,578426,277797,300629,93924
구로구,419984,208027,211957,73864
금천구,244901,123959,120942,41819
영등포구,400241,198080,202161,63547
동작구,394649,190377,204272,67470
관악구,500336,250450,249886,80686
서초구,413677,197665,216012,61404
강남구,537338,257096,280242,79575
송파구,668261,321963,346298,99854
강동구,465097,227891,237206,75477
