자치구,부동산 중개 및 대리업 사업체수,두발미용업 사업체수,남녀용 겉옷 및 셔츠 도매업 사업체수,기타주점업 사업체수,일반 교과 학원 사업체수,"택시,용달 운송업 사업체수","한식 음식점,커피 전문점 사업체수",등록업종총합
강남구,4674,2482,768,1426,2852,4482,9732,26416
강동구,2376,1800,118,1178,1240,9646,4150,20508
강북구,1178,1346,80,1160,440,5474,3370,13048
강서구,2622,2030,156,1588,1344,11068,5192,24000
관악구,2020,1790,62,1316,708,5730,4458,16084
광진구,1742,1492,178,1266,826,4174,4040,13718
구로구,1578,1458,228,1152,672,8150,3794,17032
금천구,1342,976,400,782,306,4070,3100,10976
노원구,1428,1564,60,710,1470,11688,3658,20578
도봉구,1030,1200,44,516,702,9128,2524,15144
동대문구,1684,1222,422,998,604,5954,4344,15228
동작구,1766,1302,40,878,814,3726,3164,11690
마포구,2298,1792,192,2022,938,3870,6962,18074
서대문구,1334,1196,44,994,722,5098,3088,12476
서초구,2914,1352,314,892,1624,1606,6042,14744
성동구,1602,978,298,570,516,4544,3806,12314
성북구,1692,1478,170,1024,928,6294,3590,15176
송파구,3354,2274,294,1256,1752,9096,6378,24404
양천구,1844,1676,50,830,2568,8042,3028,18038
영등포구,1972,1346,152,1272,576,5260,6140,16718
용산구,1582,732,108,974,208,1742,3582,8928
은평구,2268,1894,52,968,1102,8896,3628,18808
종로구,549,261,400,537,110,833,2933,5623
중구,1152,678,21620,762,114,1060,5800,31186
중랑구,1476,1580,126,1070,576,10876,3742,19446
